Complex ID,Stop Name,Borough
1,Astoria-Ditmars Blvd,Q
2,Astoria Blvd,Q
3,30 Av,Q
4,Broadway,Q
5,36 Av,Q
6,39 Av-Dutch Kills,Q
613,Lexington Av/59 St,M
8,5 Av/59 St,M
9,57 St-7 Av,M
10,49 St,M
611,Times Sq-42 St,M
607,34 St-Herald Sq,M
13,28 St,M
14,23 St,M
602,14 St-Union Sq,M
16,8 St-NYU,M
17,Prince St,M
623,Canal St,M
623,Canal St,M
20,City Hall,M
624,Cortlandt St,M
22,Rector St,M
635,Whitehall St-South Ferry,M
620,Court St,Bk
636,Jay St-MetroTech,Bk
26,DeKalb Av,Bk
617,Atlantic Av-Barclays Ctr,Bk
28,Union St,Bk
608,4 Av-9 St,Bk
30,Prospect Av,Bk
31,25 St,Bk
32,36 St,Bk
33,45 St,Bk
34,53 St,Bk
35,59 St,Bk
36,Bay Ridge Av,Bk
37,77 St,Bk
38,86 St,Bk
39,Bay Ridge-95 St,Bk
617,Atlantic Av-Barclays Ctr,Bk
41,7 Av,Bk
42,Prospect Park,Bk
43,Parkside Av,Bk
44,Church Av,Bk
45,Beverley Rd,Bk
46,Cortelyou Rd,Bk
47,Newkirk Plaza,Bk
48,Avenue H,Bk
49,Avenue J,Bk
50,Avenue M,Bk
51,Kings Hwy,Bk
52,Avenue U,Bk
53,Neck Rd,Bk
54,Sheepshead Bay,Bk
55,Brighton Beach,Bk
56,Ocean Pkwy,Bk
57,W 8 St-NY Aquarium,Bk
58,Coney Island-Stillwell Av,Bk
59,9 Av,Bk
60,Fort Hamilton Pkwy,Bk
61,50 St,Bk
62,55 St,Bk
615,62 St,Bk
64,71 St,Bk
65,79 St,Bk
66,18 Av,Bk
67,20 Av,Bk
68,Bay Pkwy,Bk
69,25 Av,Bk
70,Bay 50 St,Bk
71,8 Av,Bk
72,Fort Hamilton Pkwy,Bk
615,New Utrecht Av,Bk
74,18 Av,Bk
75,20 Av,Bk
76,Bay Pkwy,Bk
77,Kings Hwy,Bk
78,Avenue U,Bk
79,86 St,Bk
80,121 St,Q
81,111 St,Q
82,104 St,Q
83,Woodhaven Blvd,Q
84,85 St-Forest Pkwy,Q
85,75 St-Elderts Ln,Q
86,Cypress Hills,Bk
87,Crescent St,Bk
88,Norwood Av,Bk
89,Cleveland St,Bk
90,Van Siclen Av,Bk
91,Alabama Av,Bk
621,Broadway Junction,Bk
93,Chauncey St,Bk
94,Halsey St,Bk
95,Gates Av,Bk
96,Kosciuszko St,Bk
97,Myrtle Av,Bk
98,Flushing Av,Bk
99,Lorimer St,Bk
100,Hewes St,Bk
101,Marcy Av,Bk
625,Delancey St-Essex St,M
103,Bowery,M
623,Canal St,M
622,Chambers St,M
628,Fulton St,M
107,Broad St,M
108,Middle Village-Metropolitan Av,Q
109,Fresh Pond Rd,Q
110,Forest Av,Q
111,Seneca Av,Q
630,Myrtle-Wyckoff Avs,Bk
113,Knickerbocker Av,Bk
114,Central Av,Bk
618,8 Av,M
601,6 Av,M
602,14 St-Union Sq,M
118,3 Av,M
119,1 Av,M
120,Bedford Av,Bk
629,Lorimer St,Bk
122,Graham Av,Bk
123,Grand St,Bk
124,Montrose Av,Bk
125,Morgan Av,Bk
126,Jefferson St,Bk
127,DeKalb Av,Bk
630,Myrtle-Wyckoff Avs,Bk
129,Halsey St,Q
130,Wilson Av,Bk
131,Bushwick Av-Aberdeen St,Bk
621,Broadway Junction,Bk
133,Atlantic Av,Bk
134,Sutter Av,Bk
135,Livonia Av,Bk
136,New Lots Av,Bk
137,East 105 St,Bk
138,Canarsie-Rockaway Pkwy,Bk
627,Franklin Av,Bk
141,Park Pl,Bk
626,Botanic Garden,Bk
143,Inwood-207 St,M
